ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDPCPO23N000005013,장소,공원,16491830,신중어린이공원,,,50705,지역근린공원,1165010800114840014,서울특별시,서초구,서초동,,1484-14,1165010800,1165053000,,,,127.0107286,37.48232892,다사567426,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005014,장소,공원,16491831,신천어린이공원,,,50705,지역근린공원,4139010200107640000,경기도,시흥시,신천동,,764,4139010200,4139052000,,,,126.7848751,37.43801207,다사367378,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005015,장소,공원,16491832,신촌공원,,,50705,지역근린공원,4729025629100670000,경상북도,경산시,압량읍,신촌리,67,4729025629,4729025600,,,,128.7901446,35.84850393,마마165620,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005016,장소,공원,16491833,신촌소공원,,,50705,지역근린공원,4715037027101940000,경상북도,김천시,봉산면,신암리,194,4715037027,4715037000,,,,128.014169,36.16505314,라마462965,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005017,장소,공원,16491834,신탄진어린이공원,,,50705,지역근린공원,3023012600100210000,대전광역시,대덕구,신탄진동,,21,3023012600,3023055000,302304304105,대청로64번길,70,127.435786,36.45010182,다바942280,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005018,장소,공원,16491835,신학공원,,,50705,지역근린공원,5013010300114730004,제주특별자치도,서귀포시,서호동,,1473-4,5013010300,5013059000,501304850530,신동로27번길,6-7,126.511781,33.25160324,다나079738,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005019,장소,공원,16491836,신향공원,,,50705,지역근린공원,4157010200115690000,경기도,김포시,걸포동,,1569,4157010200,4157051500,,,,126.7090421,37.63315318,다사302595,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005020,장소,공원,16491837,신화어린이공원,,,50706,어린이놀이터,4157010500106740000,경기도,김포시,감정동,,674,4157010500,4157051500,415704427252,봉화로167번길,35-18,126.7011416,37.62563067,다사295587,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005021,장소,공원,16491838,신흥2리체육공원,,,50705,지역근린공원,5013025326117600001,제주특별자치도,서귀포시,남원읍,신흥리,1760-1,5013025326,5013025300,501304851111,한신로531번길,17,126.7442838,33.32033223,다나296812,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005022,장소,공원,16491839,신흥어린이공원,,,50705,지역근린공원,4139010200108210005,경기도,시흥시,신천동,,821-5,4139010200,4139052000,413904397440,신흥마을1길,28,126.7781993,37.43714999,다사361377,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005023,장소,공원,16491840,신흥어린이공원,,,50706,어린이놀이터,1138010900100310002,서울특별시,은평구,신사동,,31-2,1138010900,1138063100,113804133261,증산로21길,25,126.9118244,37.59610979,다사480553,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005024,장소,공원,16491841,심곡공원,,,50705,지역근린공원,2826010700102840000,인천광역시,서구,심곡동,,284,2826010700,2826053000,,,,126.6807447,37.54430677,다사276497,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005025,장소,공원,16491842,심일공원,,,50705,지역근린공원,5175033021113590000,강원특별자치도,영월군,북면,마차리,1359,5175033021,5175033000,517503013034,밤재로,221,128.4525866,37.25701416,라사844179,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005026,장소,공원,16491843,싱계물공원,,,50705,지역근린공원,5011031028113220004,제주특별자치도,제주시,한경면,신창리,1322-4,5011031028,5011031000,,,,126.1739622,33.34316437,나나766843,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005027,장소,공원,16491844,싸리고개공원,,,50705,지역근린공원,1168011800105560033,서울특별시,강남구,도곡동,,556-33,1168011800,1168065500,,,,127.0354843,37.48948118,다사589434,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005028,장소,공원,16491845,쌀섬어린이공원,,,50705,지역근린공원,1171010100103190000,서울특별시,송파구,잠실동,,319,1171010100,1171065000,117104169170,백제고분로18길,20-36,127.0824953,37.50401093,다사630450,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005029,장소,공원,16491846,쌍둥이어린이공원,,,50706,어린이놀이터,1144012500102000335,서울특별시,마포구,성산동,,200-335,1144012500,1144073000,,,,126.9066969,37.56573333,다사476519,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005030,장소,공원,16491847,쌍림어린이공원,,,50705,지역근린공원,1114014500102380000,서울특별시,중구,광희동1가,,238,1114014500,1114059000,,,,127.0051834,37.56421568,다사563517,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005031,장소,공원,16491848,쌍바우소공원,,,50705,지역근린공원,4717041026108380001,경상북도,안동시,예안면,삼계리,838-1,4717041026,4717041000,471703307047,농암로,2421,128.9349103,36.7315075,마바281602,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005032,장소,공원,16491849,쌍암공원,,,50705,지역근린공원,4372038524101020000,충청북도,보은군,회인면,쌍암리,102,4372038524,4372038500,,,,127.6108641,36.52919419,라바099368,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005033,장소,공원,16491853,쑥고개어린이공원,,,50705,지역근린공원,1162010200115640068,서울특별시,관악구,신림동,,1564-68,1162010200,1162066500,,,,126.9409494,37.47590381,다사505420,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005034,장소,공원,16491854,정선아라리공원,,,50705,지역근린공원,5177025021101110000,강원특별자치도,정선군,정선읍,봉양리,111,5177025021,5177025000,,,,128.6668093,37.37860694,마사033316,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005035,장소,공원,16491856,아라어린이공원,,,50705,지역근린공원,2714011600103880000,대구광역시,동구,동호동,,388,2714011600,2714074200,,,,128.7247892,35.86474592,마마105638,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
